"Name","Version","ModuleBase"
"NetworkTransition","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\NetworkTransition"
"OsConfiguration","1.1.3.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\OsConfiguration"
"PackageManagement","1.0.0.1","C:\Program Files\WindowsPowerShell\Modules\PackageManagement\1.0.0.1"
"PcsvDevice","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PcsvDevice"
"PersistentMemory","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PersistentMemory"
"Pester","3.4.0","C:\Program Files\WindowsPowerShell\Modules\Pester\3.4.0"
"Pester","5.7.1","C:\Users\james.e.hardy\Documents\WindowsPowerShell\Modules\Pester\5.7.1"
"PKI","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PKI"
"PnpDevice","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PnpDevice"
"PowerShellGet","1.0.0.1","C:\Program Files\WindowsPowerShell\Modules\PowerShellGet\1.0.0.1"
"PrintManagement","1.1","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PrintManagement"
"ProcessMitigations","1.0.12","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\ProcessMitigations"
"Provisioning","3.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Provisioning"
"PSDesiredStateConfiguration","1.1","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PSDesiredStateConfiguration"
"PSDiagnostics","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PSDiagnostics"
"PSReadLine","2.0.0","C:\Program Files\WindowsPowerShell\Modules\PSReadLine\2.0.0"
"PSScheduledJob","1.1.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PSScheduledJob"
"PSScriptAnalyzer","1.24.0","C:\Users\james.e.hardy\Documents\WindowsPowerShell\Modules\PSScriptAnalyzer\1.24.0"
"PSSQLite","1.1.0","C:\Users\james.e.hardy\Documents\WindowsPowerShell\Modules\PSSQLite\1.1.0"
"PSWindowsUpdate","2.2.1.5","C:\Program Files\WindowsPowerShell\Modules\PSWindowsUpdate\2.2.1.5"
"PSWorkflow","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PSWorkflow"
"PSWorkflowUtility","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\PSWorkflowUtility"
"ScheduledTasks","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\ScheduledTasks"
"SecureBoot","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\SecureBoot"
"SmbShare","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\SmbShare"
"SmbWitness","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\SmbWitness"
"StartLayout","1.0.0.1","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\StartLayout"
"Storage","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Storage"
"StorageBusCache","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\StorageBusCache"
"TLS","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\TLS"
"TroubleshootingPack","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\TroubleshootingPack"
"TrustedPlatformModule","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\TrustedPlatformModule"
"UEV","2.1.639.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\UEV"
"VMDirectStorage","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\VMDirectStorage"
"VpnClient","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\VpnClient"
"Wdac","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Wdac"
"Whea","2.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Whea"
"WindowsDeveloperLicense","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\WindowsDeveloperLicense"
"WindowsErrorReporting","1.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\WindowsErrorReporting"
"WindowsSearch","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\WindowsSearch"
"WindowsUpdate","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\WindowsUpdate"
"WinHttpProxy","1.0.0.0","C:\Windows\system32\WindowsPowerShell\v1.0\Modules\WinHttpProxy"
